,0,1,2,3,4,5,6,7,8,9,10,11,12
0,93,ENSG00000133961,NUMB,Plasma membrane,CAB011478,http://images.proteinatlas.org/11478/32627_A_1_1.jpg,Stomach 2,cytoplasmic/membranous,0,0,0,0,1
1,94,ENSG00000133961,NUMB,Plasma membrane,CAB011478,http://images.proteinatlas.org/11478/32627_A_2_1.jpg,Stomach 2,cytoplasmic/membranous,0,0,0,0,1
2,95,ENSG00000133961,NUMB,Plasma membrane,CAB011478,http://images.proteinatlas.org/11478/32627_A_3_1.jpg,Stomach 2,cytoplasmic/membranous,0,0,0,0,1
3,96,ENSG00000133961,NUMB,Plasma membrane,CAB011478,http://images.proteinatlas.org/11478/32627_A_5_1.jpg,Stomach 1,cytoplasmic/membranous,0,0,0,0,1
4,97,ENSG00000133961,NUMB,Plasma membrane,CAB011478,http://images.proteinatlas.org/11478/32627_A_6_1.jpg,Stomach 1,cytoplasmic/membranous,0,0,0,0,1
5,98,ENSG00000133961,NUMB,Plasma membrane,CAB011478,http://images.proteinatlas.org/11478/32627_A_7_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
6,99,ENSG00000133961,NUMB,Plasma membrane,CAB011478,http://images.proteinatlas.org/11478/32627_A_8_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
7,100,ENSG00000133961,NUMB,Plasma membrane,CAB011478,http://images.proteinatlas.org/11478/32627_A_9_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
8,374,ENSG00000169855,ROBO1,Plasma membrane,CAB013524,http://images.proteinatlas.org/13524/33705_A_7_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
9,375,ENSG00000169855,ROBO1,Plasma membrane,CAB013524,http://images.proteinatlas.org/13524/33705_A_8_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
10,376,ENSG00000169855,ROBO1,Plasma membrane,CAB013524,http://images.proteinatlas.org/13524/33705_A_9_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
11,1210,ENSG00000044115,CTNNA1,Plasma membrane,CAB021089,http://images.proteinatlas.org/21089/48169_A_1_1.jpg,Stomach 2,cytoplasmic/membranous,0,0,0,0,1
12,1211,ENSG00000044115,CTNNA1,Plasma membrane,CAB021089,http://images.proteinatlas.org/21089/48169_A_2_1.jpg,Stomach 2,cytoplasmic/membranous,0,0,0,0,1
13,1212,ENSG00000044115,CTNNA1,Plasma membrane,CAB021089,http://images.proteinatlas.org/21089/48169_A_3_1.jpg,Stomach 2,cytoplasmic/membranous,0,0,0,0,1
14,1213,ENSG00000044115,CTNNA1,Plasma membrane,CAB021089,http://images.proteinatlas.org/21089/48169_A_4_1.jpg,Stomach 1,cytoplasmic/membranous,0,0,0,0,1
15,1214,ENSG00000044115,CTNNA1,Plasma membrane,CAB021089,http://images.proteinatlas.org/21089/48169_A_5_1.jpg,Stomach 1,cytoplasmic/membranous,0,0,0,0,1
16,1215,ENSG00000044115,CTNNA1,Plasma membrane,CAB021089,http://images.proteinatlas.org/21089/48169_A_6_1.jpg,Stomach 1,cytoplasmic/membranous,0,0,0,0,1
17,1216,ENSG00000044115,CTNNA1,Plasma membrane,CAB021089,http://images.proteinatlas.org/21089/48169_A_7_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
18,1217,ENSG00000044115,CTNNA1,Plasma membrane,CAB021089,http://images.proteinatlas.org/21089/48169_A_8_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
19,1218,ENSG00000044115,CTNNA1,Plasma membrane,CAB021089,http://images.proteinatlas.org/21089/48169_A_9_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
20,2499,ENSG00000197879,MYO1C,Plasma membrane,CAB037023,http://images.proteinatlas.org/37023/80230_A_1_1.jpg,Stomach 2,cytoplasmic/membranous,0,0,0,0,1
21,2500,ENSG00000197879,MYO1C,Plasma membrane,CAB037023,http://images.proteinatlas.org/37023/80230_A_3_1.jpg,Stomach 2,cytoplasmic/membranous,0,0,0,0,1
22,2501,ENSG00000197879,MYO1C,Plasma membrane,CAB037023,http://images.proteinatlas.org/37023/80230_A_4_1.jpg,Stomach 1,cytoplasmic/membranous,0,0,0,0,1
